style;gymNameAdress;lat;lng
Boxing;Church Street Boxing Gym (25 Park Pl, New York, NY 10007);40.713404;-74.008621
Boxing;455 W 37th St, New York, NY 10018 (Title Boxing Club);40.756699;-73.997281
Boxing;Mendez Boxing (23 E 26th St, New York, NY 10010);40.743019;-73.986876
Boxing;Overthrow Boxing Club (9 Bleecker St, New York, NY 10012);40.725586;-73.992805
Boxing;Kingsway Gym (1 W 28th St, New York, NY 10010);40.745077;-73.987732
Boxing;Power Boxing Gym (920 3rd Ave, New York, NY 10022);40.759350;-73.968517
Boxing;Trinity Boxing Club (116 Duane St, New York, NY 10007);40.715593;-74.006761
Boxing;Work Train Fight (636 Broadway #204, New York, NY 10012);40.726019;-73.995445
Capoeira;New York Capoeira Center (107 Suffolk St #307, New York, NY 10002);40.719155;-73.986263
Capoeira;Arte Capoeira Center (18 Bleecker St, New York, NY 10012);40.725346;-73.993425
Capoeira;Centro de Capoeira Angola Filhos de Dunga (11233, 335 Throop Ave Suite 3, Brooklyn, NY 11221);40.691919;-73.942457
Capoeira;Capoeira Nago NY (123 E 12th St, New York, NY 10003);40.732497;-73.988830
Capoeira;Capoeira Training Center (440 Lafayette St, New York, NY 10003);40.729514;-73.992323
Capoeira;Capoeira Guanabara New York (525 Nostrand Ave 2nd floor, Brooklyn, NY 11216);40.679296;-73.949460
Capoeira;Harlem Capoeira Fitness (2113 Frederick Douglass Blvd, New York, NY 10026);40.803374;-73.956394
Capoeira;Abadá Capoeira Academy NYC (12 St Marks Pl, New York, NY 10003);40.728991;-73.989316
Karate;World Oyama Karate - Matsumoto Dojo (754 9th Ave, New York, NY 10019);40.763819;-73.988306
Karate;World Seido Karate (61 W 23rd St #2, New York, NY 10010);40.742730;-73.991864
Karate;Kyokushin Karate New York (265 Madison Ave # 5, New York, NY 10016);40.750915;-73.980317
Karate;Upper West Side Kenshikai Karate (928 Columbus Ave, New York, NY 10025);40.799046;-73.963374
Karate;Honma Dojo Karate - New York (58 E 11th St, New York, NY 10003);40.732766;-73.992587
Karate;Kokushi Budo Institute (331 Riverside Dr, New York, NY 10025);40.801676;-73.970216
Krav Maga;DP Martial Arts & Krav Maga Academy (623 Broadway, Westwood, NJ 07675);40.995322;-74.035268
