"","year","BackGround","qtd_fighters","wins","wins_ratio","ratio_wins_cumulated"
"1",1993,"Brazilian Jiu Jitsu",2,2,1,1
"2",1993,"Karate",2,1,0.5,0.5
"3",1993,"Kickboxing",4,1,0.25,0.25
"4",1994,"Brazilian Jiu Jitsu",7,6,0.857142857142857,0.888888888888889
"5",1994,"Judo",6,4,0.666666666666667,0.666666666666667
"6",1994,"Karate",2,0,0,0.25
"7",1994,"Kickboxing",4,2,0.5,0.375
"8",1994,"MMA",6,1,0.166666666666667,0.166666666666667
"9",1994,"Taekwondo",1,0,0,0
"10",1995,"Boxing",1,0,0,0
"11",1995,"Brazilian Jiu Jitsu",3,2,0.666666666666667,0.833333333333333
"12",1995,"Judo",6,3,0.5,0.583333333333333
"13",1995,"Karate",3,1,0.333333333333333,0.285714285714286
"14",1995,"Kickboxing",3,1,0.333333333333333,0.363636363636364
"15",1995,"MMA",4,1,0.25,0.2
"16",1995,"Russian Sambo",5,3,0.6,0.6
"17",1995,"Wrestling",9,4,0.444444444444444,0.444444444444444
"18",1996,"Boxing",1,0,0,0
"19",1996,"Brazilian Jiu Jitsu",3,0,0,0.666666666666667
"20",1996,"Judo",1,1,1,0.615384615384615
"21",1996,"Karate",2,0,0,0.222222222222222
"22",1996,"Kickboxing",8,3,0.375,0.368421052631579
"23",1996,"MMA",10,4,0.4,0.3
"24",1996,"Taekwondo",2,1,0.5,0.333333333333333
"25",1996,"Wrestling",25,17,0.68,0.617647058823529
"26",1997,"Boxing",2,0,0,0
"27",1997,"Brazilian Jiu Jitsu",3,2,0.666666666666667,0.666666666666667
"28",1997,"Judo",1,0,0,0.571428571428571
"29",1997,"Kickboxing",3,3,1,0.454545454545455
"30",1997,"MMA",3,0,0,0.260869565217391
"31",1997,"Wrestling",14,8,0.571428571428571,0.604166666666667
"32",1998,"Boxing",2,1,0.5,0.166666666666667
"33",1998,"Brazilian Jiu Jitsu",3,1,0.333333333333333,0.619047619047619
"34",1998,"Judo",2,2,1,0.625
"35",1998,"Karate",2,2,1,0.363636363636364
"36",1998,"MMA",5,2,0.4,0.285714285714286
"37",1998,"Muay Thai",2,1,0.5,0.5
"38",1998,"Taekwondo",1,0,0,0.25
"39",1998,"Wrestling",5,2,0.4,0.584905660377358
"40",1999,"Boxing",7,4,0.571428571428571,0.384615384615385
"41",1999,"Brazilian Jiu Jitsu",2,0,0,0.565217391304348
"42",1999,"Judo",2,1,0.5,0.611111111111111
"43",1999,"Karate",2,2,1,0.461538461538462
"44",1999,"Kickboxing",4,2,0.5,0.461538461538462
"45",1999,"MMA",4,2,0.5,0.3125
"46",1999,"Muay Thai",1,1,1,0.666666666666667
"47",1999,"Wrestling",10,3,0.3,0.53968253968254
"48",2000,"Boxing",7,4,0.571428571428571,0.45
"49",2000,"Brazilian Jiu Jitsu",5,3,0.6,0.571428571428571
"50",2000,"Judo",2,1,0.5,0.6
"51",2000,"Karate",1,0,0,0.428571428571429
"52",2000,"Kickboxing",3,1,0.333333333333333,0.448275862068966
"53",2000,"MMA",10,4,0.4,0.333333333333333
"54",2000,"Muay Thai",3,1,0.333333333333333,0.5
"55",2000,"Wrestling",11,7,0.636363636363636,0.554054054054054
"56",2001,"Boxing",5,5,1,0.56
"57",2001,"Brazilian Jiu Jitsu",17,8,0.470588235294118,0.533333333333333
"58",2001,"Judo",1,1,1,0.619047619047619
"59",2001,"Karate",6,3,0.5,0.45
"60",2001,"Kickboxing",1,0,0,0.433333333333333
"61",2001,"Kung Fu",2,1,0.5,0.5
"62",2001,"MMA",5,1,0.2,0.319148936170213
"63",2001,"Muay Thai",4,1,0.25,0.4
"64",2001,"Russian Sambo",1,0,0,0.5
"65",2001,"Wrestling",22,12,0.545454545454545,0.552083333333333
"66",2002,"Boxing",7,4,0.571428571428571,0.5625
