Lutadores;BackGround
Aaron Riley;Boxing
Aaron Rosa;MMA
Aaron Simpson;Wrestling
Abel Trujillo;Wrestling
Adlan Amagov;Russian Sambo
Adriano Martins;Brazilian Jiu Jitsu
Aisling Daly;Brazilian Jiu Jitsu
Akbarh Arreola;Brazilian Jiu Jitsu
Akihiro Gono;Kickboxing
Akira Corassani;Taekwondo
Al Iaquinta;Kickboxing
Alan Belcher;Muay Thai
Alan Jouban;Muay Thai
Alan Patrick Silva Alves;Brazilian Jiu Jitsu
Albert Tumenov;Karate
Alberto Mina;Brazilian Jiu Jitsu
Alejandro Perez;MMA
Aleksandra Albu;Judo
Alessio Sakara;Brazilian Jiu Jitsu
Alex Caceres;MMA
Alex Chambers;Karate
Alex Garcia;Boxing
Alex Hunter;Taekwondo
Alex Karalexis;Wrestling
Alex Morono;Brazilian Jiu Jitsu
Alex Oliveira;Muay Thai
Alex White;Brazilian Jiu Jitsu
Alexander Gustafsson;Wrestling
Alexander Yakovlev;Russian Sambo
Alexey Oleinik;Russian Sambo
Alexis Davis;Brazilian Jiu Jitsu
Ali Bagautinov;Russian Sambo
Alistair Overeem;Kickboxing
Aljamain Sterling;Muay Thai
Alptekin Ozkilic;Wrestling
Alvaro Herrera;Boxing
Alvin Robinson;Brazilian Jiu Jitsu
Amanda Nunes;Brazilian Jiu Jitsu
Amaury Bitetti;Brazilian Jiu Jitsu
Amir Sadollah;MMA
Anderson Silva;Brazilian Jiu Jitsu
Andre Fili;Boxing
Andre Roberts;Wrestling
Andre Winner;Boxing
Andrei Arlovski;Russian Sambo
Andrei Semenov;Russian Sambo
Andrew Craig;Muay Thai
Andrew Holbrook;Wrestling
Andy Ogle;MMA
Angela Hill;Muay Thai
Anthony Birchak;Brazilian Jiu Jitsu
Anthony Hamilton;Brazilian Jiu Jitsu
Anthony Johnson;Wrestling
Anthony Macias;MMA
Anthony Njokuani;MMA
Anthony Perosh;Brazilian Jiu Jitsu
Anthony Pettis;Taekwondo
Anthony Smith;Brazilian Jiu Jitsu
Anthony Torres;Taekwondo
Anton Kuivanen;MMA
Antoni Hardonk;Brazilian Jiu Jitsu
Antonio Braga Neto;Brazilian Jiu Jitsu
Antonio Carlos Jr.;Brazilian Jiu Jitsu
Antonio Carvalho;Brazilian Jiu Jitsu
Antonio Rodrigo Nogueira;Brazilian Jiu Jitsu
Antonio Rogerio Nogueira;Brazilian Jiu Jitsu
Antonio Silva;Brazilian Jiu Jitsu
Anying Wang;Wrestling
Arnold Allen;MMA
Ashlee Evans-Smith;Brazilian Jiu Jitsu
Augusto Montano;MMA
B.J. Penn;Brazilian Jiu Jitsu
Bart Palaszewski;Brazilian Jiu Jitsu
Bartosz Fabinski;MMA
Bas Rutten;Karate
