"","X.2","X.1","X","pageurl","eid","mid","event_name","event_org","event_date","event_place","f1pageurl","f2pageurl","f1name","f2name","f1result","f2result","f1fid","f2fid","method","method_d","ref","round","time","year","f1BackGround","f2BackGround","f1win","f2win","value","minutos_de_luta","winner_style","mach_vector"
"1",1,1,1,"/events/UFC-1-The-Beginning-7",7,8,"UFC 1 - The Beginning","Ultimate Fighting Championship","11/12/1993","McNichols Arena, Denver, Colorado, United States","/fighter/Royce-Gracie-19","/fighter/Gerard-Gordeau-15","Royce Gracie","Gerard Gordeau","win","loss",19,15,"Submission","Rear-Naked Choke","Helio Vigio",1,"1:44",1993,"Brazilian Jiu Jitsu","Karate",1,0,1,1.73,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Karate"
"2",2,2,2,"/events/UFC-1-The-Beginning-7",7,6,"UFC 1 - The Beginning","Ultimate Fighting Championship","11/12/1993","McNichols Arena, Denver, Colorado, United States","/fighter/Royce-Gracie-19","/fighter/Ken-Shamrock-4","Royce Gracie","Ken Shamrock","win","loss",19,4,"Submission","Rear-Naked Choke","Helio Vigio",1,"0:57",1993,"Brazilian Jiu Jitsu","Kickboxing",1,0,1,0.95,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Kickboxing"
"3",3,3,3,"/events/UFC-1-The-Beginning-7",7,4,"UFC 1 - The Beginning","Ultimate Fighting Championship","11/12/1993","McNichols Arena, Denver, Colorado, United States","/fighter/Ken-Shamrock-4","/fighter/Patrick-Smith-21","Ken Shamrock","Patrick Smith","win","loss",4,21,"Submission","Heel Hook","Helio Vigio",1,"1:49",1993,"Kickboxing","Kickboxing",1,0,1,1.82,"Kickboxing","Kickboxing vs Kickboxing"
"4",4,4,4,"/events/UFC-1-The-Beginning-7",7,5,"UFC 1 - The Beginning","Ultimate Fighting Championship","11/12/1993","McNichols Arena, Denver, Colorado, United States","/fighter/Gerard-Gordeau-15","/fighter/Kevin-Rosier-17","Gerard Gordeau","Kevin Rosier","win","loss",15,17,"KO","Corner Stoppage","Joao Alberto Barreto",1,"0:59",1993,"Karate","Kickboxing",1,0,1,0.98,"Karate","Karate vs Kickboxing"
"5",5,5,5,"/events/UFC-2-No-Way-Out-8",8,11,"UFC 2 - No Way Out","Ultimate Fighting Championship","3/11/1994","Fillmore Auditorium, Denver, Colorado, United States","/fighter/Remco-Pardoel-33","/fighter/Orlando-Wiet-31","Remco Pardoel","Orlando Wiet","win","loss",33,31,"KO","Elbows","John McCarthy",1,"1:29",1994,"Judo","MMA",1,0,1,1.48,"Judo","Judo vs MMA"
"6",6,6,6,"/events/UFC-2-No-Way-Out-8",8,9,"UFC 2 - No Way Out","Ultimate Fighting Championship","3/11/1994","Fillmore Auditorium, Denver, Colorado, United States","/fighter/Patrick-Smith-21","/fighter/Scott-Morris-24","Patrick Smith","Scott Morris","win","loss",21,24,"KO","Elbows","John McCarthy",1,"0:30",1994,"Kickboxing","MMA",1,0,1,0.5,"Kickboxing","Kickboxing vs MMA"
"7",7,7,7,"/events/UFC-2-No-Way-Out-8",8,15,"UFC 2 - No Way Out","Ultimate Fighting Championship","3/11/1994","Fillmore Auditorium, Denver, Colorado, United States","/fighter/Royce-Gracie-19","/fighter/Patrick-Smith-21","Royce Gracie","Patrick Smith","win","loss",19,21,"Submission","Punches","John McCarthy",1,"1:17",1994,"Brazilian Jiu Jitsu","Kickboxing",1,0,1,1.28,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Kickboxing"
"8",8,8,8,"/events/UFC-2-No-Way-Out-8",8,14,"UFC 2 - No Way Out","Ultimate Fighting Championship","3/11/1994","Fillmore Auditorium, Denver, Colorado, United States","/fighter/Royce-Gracie-19","/fighter/Remco-Pardoel-33","Royce Gracie","Remco Pardoel","win","loss",19,33,"Submission","Lapel Choke","John McCarthy",1,"1:31",1994,"Brazilian Jiu Jitsu","Judo",1,0,1,1.52,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Judo"
"9",9,9,9,"/events/UFC-2-No-Way-Out-8",8,13,"UFC 2 - No Way Out","Ultimate Fighting Championship","3/11/1994","Fillmore Auditorium, Denver, Colorado, United States","/fighter/Patrick-Smith-21","/fighter/Johnny-Rhodes-27","Patrick Smith","Johnny Rhodes","win","loss",21,27,"Submission","Guillotine Choke","John McCarthy",1,"1:07",1994,"Kickboxing","MMA",1,0,1,1.12,"Kickboxing","Kickboxing vs MMA"
"10",10,10,10,"/events/UFC-2-No-Way-Out-8",8,12,"UFC 2 - No Way Out","Ultimate Fighting Championship","3/11/1994","Fillmore Auditorium, Denver, Colorado, United States","/fighter/Royce-Gracie-19","/fighter/Jason-DeLucia-22","Royce Gracie","Jason DeLucia","win","loss",19,22,"Submission","Armlock","John McCarthy",1,"1:07",1994,"Brazilian Jiu Jitsu","MMA",1,0,1,1.12,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs MMA"
"11",11,11,11,"/events/UFC-3-The-American-Dream-9",9,6,"UFC 3 - The American Dream","Ultimate Fighting Championship","9/9/1994","Grady Cole Center, Charlotte, North Carolina, United States","/fighter/Steve-Jennum-44","/fighter/Harold-Howard-41","Steve Jennum","Harold Howard","win","loss",44,41,"Submission","Punches","John McCarthy",1,"1:27",1994,"MMA","Karate",1,0,1,1.45,"MMA","Karate vs MMA"
"12",12,12,12,"/events/UFC-3-The-American-Dream-9",9,4,"UFC 3 - The American Dream","Ultimate Fighting Championship","9/9/1994","Grady Cole Center, Charlotte, North Carolina, United States","/fighter/Royce-Gracie-19","/fighter/Kimo-Leopoldo-43","Royce Gracie","Kimo Leopoldo","win","loss",19,43,"Submission","Armlock","John McCarthy",1,"4:40",1994,"Brazilian Jiu Jitsu","Taekwondo",1,0,1,4.67,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Taekwondo"
"13",13,13,13,"/events/UFC-4-Revenge-of-the-Warriors-10",10,10,"UFC 4 - Revenge of the Warriors","Ultimate Fighting Championship","12/16/1994","Expo Square Pavilion, Tulsa, Oklahoma, United States","/fighter/Royce-Gracie-19","/fighter/Dan-Severn-52","Royce Gracie","Dan Severn","win","loss",19,52,"Submission","Triangle Choke","John McCarthy",1,"15:49",1994,"Brazilian Jiu Jitsu","Judo",1,0,1,15.82,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Judo"
"14",14,14,14,"/events/UFC-4-Revenge-of-the-Warriors-10",10,8,"UFC 4 - Revenge of the Warriors","Ultimate Fighting Championship","12/16/1994","Expo Square Pavilion, Tulsa, Oklahoma, United States","/fighter/Dan-Severn-52","/fighter/Marcus-Bossett-54","Dan Severn","Marcus Bossett","win","loss",52,54,"Submission","Rear Naked Choke","John McCarthy",1,"0:52",1994,"Judo","Brazilian Jiu Jitsu",1,0,1,0.87,"Judo","Brazilian Jiu Jitsu vs Judo"
"15",15,15,15,"/events/UFC-4-Revenge-of-the-Warriors-10",10,7,"UFC 4 - Revenge of the Warriors","Ultimate Fighting Championship","12/16/1994","Expo Square Pavilion, Tulsa, Oklahoma, United States","/fighter/Royce-Gracie-19","/fighter/Keith-Hackney-38","Royce Gracie","Keith Hackney","win","loss",19,38,"Submission","Armlock","John McCarthy",1,"5:32",1994,"Brazilian Jiu Jitsu","Karate",1,0,1,5.53,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Karate"
"16",16,16,16,"/events/UFC-4-Revenge-of-the-Warriors-10",10,6,"UFC 4 - Revenge of the Warriors","Ultimate Fighting Championship","12/16/1994","Expo Square Pavilion, Tulsa, Oklahoma, United States","/fighter/Dan-Severn-52","/fighter/Anthony-Macias-53","Dan Severn","Anthony Macias","win","loss",52,53,"Submission","Rear Naked Choke","John McCarthy",1,"1:45",1994,"Judo","MMA",1,0,1,1.75,"Judo","Judo vs MMA"
"17",17,17,17,"/events/UFC-4-Revenge-of-the-Warriors-10",10,1,"UFC 4 - Revenge of the Warriors","Ultimate Fighting Championship","12/16/1994","Expo Square Pavilion, Tulsa, Oklahoma, United States","/fighter/Joe-Charles-46","/fighter/Kevin-Rosier-17","Joe Charles","Kevin Rosier","win","loss",46,17,"Submission","Armbar","John McCarthy",1,"0:14",1994,"Judo","Kickboxing",1,0,1,0.23,"Judo","Judo vs Kickboxing"
"18",18,18,18,"/events/UFC-5-The-Return-of-the-Beast-11",11,9,"UFC 5 - The Return of the Beast","Ultimate Fighting Championship","4/7/1995","Bojangles\' Coliseum, Charlotte, North Carolina, United States","/fighter/Ken-Shamrock-4","/fighter/Royce-Gracie-19","Ken Shamrock","Royce Gracie","OTHER","OTHER",4,19,"OTHER","","John McCarthy",1,"36:00:00",1995,"Kickboxing","Brazilian Jiu Jitsu",0,0,1,36,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Kickboxing"
"19",19,19,19,"/events/UFC-7-The-Brawl-in-Buffalo-13",13,10,"UFC 7 - The Brawl in Buffalo","Ultimate Fighting Championship","9/8/1995","Buffalo Memorial Auditorium, Buffalo, New York, United States","/fighter/Ken-Shamrock-4","/fighter/Oleg-Taktarov-47","Ken Shamrock","Oleg Taktarov","OTHER","OTHER",4,47,"OTHER","","John McCarthy",1,"33:00:00",1995,"Kickboxing","Russian Sambo",0,0,1,33,"Russian Sambo","Kickboxing vs Russian Sambo"
"20",20,20,20,"/events/UFC-6-Clash-of-the-Titans-12",12,4,"UFC 6 - Clash of the Titans","Ultimate Fighting Championship","7/14/1995","Casper Events Center, Casper, Wyoming, United States","/fighter/Paul-Varelans-112","/fighter/Cal-Worsham-113","Paul Varelans","Cal Worsham","win","loss",112,113,"KO","Elbow","John McCarthy",1,"1:02",1995,"Wrestling","Boxing",1,0,1,1.03,"Wrestling","Boxing vs Wrestling"
"21",21,21,21,"/events/UFC-5-The-Return-of-the-Beast-11",11,10,"UFC 5 - The Return of the Beast","Ultimate Fighting Championship","4/7/1995","Bojangles\' Coliseum, Charlotte, North Carolina, United States","/fighter/Dan-Severn-52","/fighter/Dave-Beneteau-56","Dan Severn","Dave Beneteau","win","loss",52,56,"Submission","Keylock","John McCarthy",1,"3:01",1995,"Judo","Wrestling",1,0,1,3.02,"Judo","Judo vs Wrestling"
"22",22,22,22,"/events/UFC-5-The-Return-of-the-Beast-11",11,6,"UFC 5 - The Return of the Beast","Ultimate Fighting Championship","4/7/1995","Bojangles\' Coliseum, Charlotte, North Carolina, United States","/fighter/Dan-Severn-52","/fighter/Joe-Charles-46","Dan Severn","Joe Charles","win","loss",52,46,"Submission","Rear-Naked Choke","John McCarthy",1,"1:38",1995,"Judo","Judo",1,0,1,1.63,"Judo","Judo vs Judo"
"23",23,23,23,"/events/UFC-6-Clash-of-the-Titans-12",12,10,"UFC 6 - Clash of the Titans","Ultimate Fighting Championship","7/14/1995","Casper Events Center, Casper, Wyoming, United States","/fighter/Oleg-Taktarov-47","/fighter/David-Abbott-110","Oleg Taktarov","David Abbott","win","loss",47,110,"Submission","Rear-Naked Choke","John McCarthy",1,"17:45",1995,"Russian Sambo","Wrestling",1,0,1,17.75,"Russian Sambo","Russian Sambo vs Wrestling"
"24",24,24,24,"/events/UFC-6-Clash-of-the-Titans-12",12,9,"UFC 6 - Clash of the Titans","Ultimate Fighting Championship","7/14/1995","Casper Events Center, Casper, Wyoming, United States","/fighter/Ken-Shamrock-4","/fighter/Dan-Severn-52","Ken Shamrock","Dan Severn","win","loss",4,52,"Submission","Guillotine Choke","John McCarthy",1,"2:14",1995,"Kickboxing","Judo",1,0,1,2.23,"Kickboxing","Judo vs Kickboxing"
"25",25,25,25,"/events/UFC-6-Clash-of-the-Titans-12",12,8,"UFC 6 - Clash of the Titans","Ultimate Fighting Championship","7/14/1995","Casper Events Center, Casper, Wyoming, United States","/fighter/Oleg-Taktarov-47","/fighter/Anthony-Macias-53","Oleg Taktarov","Anthony Macias","win","loss",47,53,"Submission","Guillotine Choke","John McCarthy",1,"0:09",1995,"Russian Sambo","MMA",1,0,1,0.15,"Russian Sambo","MMA vs Russian Sambo"
"26",26,26,26,"/events/UFC-6-Clash-of-the-Titans-12",12,6,"UFC 6 - Clash of the Titans","Ultimate Fighting Championship","7/14/1995","Casper Events Center, Casper, Wyoming, United States","/fighter/Oleg-Taktarov-47","/fighter/Dave-Beneteau-56","Oleg Taktarov","Dave Beneteau","win","loss",47,56,"Submission","Front Choke","John McCarthy",1,"0:57",1995,"Russian Sambo","Wrestling",1,0,1,0.95,"Russian Sambo","Russian Sambo vs Wrestling"
"27",27,27,27,"/events/UFC-7-The-Brawl-in-Buffalo-13",13,9,"UFC 7 - The Brawl in Buffalo","Ultimate Fighting Championship","9/8/1995","Buffalo Memorial Auditorium, Buffalo, New York, United States","/fighter/Marco-Ruas-120","/fighter/Remco-Pardoel-33","Marco Ruas","Remco Pardoel","win","loss",120,33,"Submission","Position","John McCarthy",1,"12:27",1995,"Brazilian Jiu Jitsu","Judo",1,0,1,12.45,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Judo"
"28",28,28,28,"/events/UFC-7-The-Brawl-in-Buffalo-13",13,8,"UFC 7 - The Brawl in Buffalo","Ultimate Fighting Championship","9/8/1995","Buffalo Memorial Auditorium, Buffalo, New York, United States","/fighter/Paul-Varelans-112","/fighter/Mark-Hall-118","Paul Varelans","Mark Hall","win","loss",112,118,"Submission","Keylock","N/A",1,"1:04",1995,"Wrestling","Karate",1,0,1,1.07,"Wrestling","Karate vs Wrestling"
"29",29,29,29,"/events/UFC-7-The-Brawl-in-Buffalo-13",13,5,"UFC 7 - The Brawl in Buffalo","Ultimate Fighting Championship","9/8/1995","Buffalo Memorial Auditorium, Buffalo, New York, United States","/fighter/Mark-Hall-118","/fighter/Harold-Howard-41","Mark Hall","Harold Howard","win","loss",118,41,"Submission","Strikes","John McCarthy",1,"1:41",1995,"Karate","Karate",1,0,1,1.68,"Karate","Karate vs Karate"
"30",30,30,30,"/events/UFC-5-The-Return-of-the-Beast-11",11,8,"UFC 5 - The Return of the Beast","Ultimate Fighting Championship","4/7/1995","Bojangles\' Coliseum, Charlotte, North Carolina, United States","/fighter/Dan-Severn-52","/fighter/Oleg-Taktarov-47","Dan Severn","Oleg Taktarov","win","loss",52,47,"KO","Cut","John McCarthy",1,"4:21",1995,"Judo","Russian Sambo",1,0,1,4.35,"Judo","Judo vs Russian Sambo"
